date,event
2024-09-18,FOMC
2024-10-04,NFP
2024-10-10,CPI
2024-11-01,NFP
2024-11-07,FOMC
2024-11-13,CPI
2024-12-06,NFP
2024-12-11,CPI
2024-12-18,FOMC
2025-01-10,NFP
2025-01-15,CPI
2025-01-29,FOMC
2025-02-07,NFP
2025-02-12,CPI
2025-03-07,NFP
2025-03-12,CPI
2025-03-19,FOMC
2025-04-04,NFP
2025-04-10,CPI
2025-05-02,NFP
2025-05-07,FOMC
2025-05-13,CPI
2025-06-06,NFP
2025-06-11,CPI
2025-06-18,FOMC
2025-07-03,NFP
2025-07-15,CPI
2025-07-30,FOMC
2025-08-01,NFP
2025-08-12,CPI
2025-09-05,NFP
2025-09-11,CPI
2025-09-17,FOMC
2025-10-24,CPI
2025-10-29,FOMC
2025-11-20,NFP
2025-12-10,FOMC
2025-12-16,NFP
2025-12-18,CPI
2026-01-09,NFP
2026-01-13,CPI
2026-01-28,FOMC
2026-02-11,NFP
2026-02-13,CPI
2026-03-06,NFP
2026-03-11,CPI
2026-03-18,FOMC
2026-04-03,NFP
2026-04-10,CPI
2026-04-29,FOMC
2026-05-08,NFP
2026-05-12,CPI
2026-06-05,NFP
2026-06-10,CPI
2026-06-17,FOMC
2026-07-02,NFP
2026-07-14,CPI
2026-07-29,FOMC
2026-08-07,NFP
2026-08-12,CPI
2026-09-04,NFP
2026-09-11,CPI
2026-09-16,FOMC
2026-10-02,NFP
2026-10-14,CPI
2026-10-28,FOMC
2026-11-06,NFP
2026-11-10,CPI
2026-12-04,NFP
2026-12-09,FOMC
2026-12-10,CPI
